"inq_last_6mths","pub_rec","revol_bal","dti","home_ownership"
0,0,32609,NA,"MORTGAGE"
2,0,20800,16.5,"RENT"
0,0,40759,29.34,"RENT"
2,0,21705,24.05,"OWN"
0,0,3743,37.65,"MORTGAGE"
0,0,NA,NA,"MORTGAGE"
0,0,21284,NA,"RENT"
3,0,NA,NA," "
NA,2,15363,NA,"MORTGAGE"
0,0,15328,18.1," "
2,0,10943,27.18,"n/a"
0,0,29012,15," "
0,0,7079,NA,"RENT"
NA,NA,3026,2.65,"OWN"
1,1,4048,19.95," "
1,1,6012,6.89,"RENT"
0,NA,258497,NA," "
0,0,28662,14.87," "
1,0,NA,8.38,"RENT"
0,0,NA,NA,"MORTGAGE"
1,0,9204,NA,NA
0,NA,NA,21.89,"MORTGAGE"
0,0,NA,27.37,"MORTGAGE"
0,0,NA,NA,"RENT"
NA,0,NA,21.66,NA
0,1,4625,13.87,"RENT"
NA,0,8309,NA,"MORTGAGE"
1,0,17174,NA,"MORTGAGE"
0,0,8645,18.32,NA
0,0,NA,21.54,"MORTGAGE"
NA,0,NA,15.03,"MORTGAGE"
1,NA,4108,25.43,"RENT"
NA,0,26250,10.27,NA
2,0,NA,8.18,"n/a"
0,0,NA,20.85,"RENT"
0,0,15250,20.94,""
1,NA,NA,18.48,"n/a"
1,0,20846,12.1,"OWN"
1,0,11388,NA,"MORTGAGE"
2,0,38879,32.04,"MORTGAGE"
0,0,27922,NA,"MORTGAGE"
NA,0,NA,NA,"MORTGAGE"
0,0,14117,6.34,"MORTGAGE"
0,1,12897,26.3," "
2,0,28123,17.78,"MORTGAGE"
3,2,558,1.7,"MORTGAGE"
1,0,14765,NA,"MORTGAGE"
NA,1,5045,13.18,"RENT"
0,NA,14129,14.51,"MORTGAGE"
NA,0,16196,30.37," "
NA,0,20656,7.01,"MORTGAGE"
NA,0,7932,18.11,"RENT"
NA,0,NA,13.15," "
NA,0,10141,27.44,"MORTGAGE"
0,0,NA,NA,""
0,0,2246,NA," "
1,0,40883,23.86," "
0,1,10358,17.15,"RENT"
1,NA,9289,NA,"n/a"
NA,0,NA,20.23,"MORTGAGE"
0,0,20433,18.74," "
0,0,NA,NA," "
NA,0,26045,32.46,"n/a"
1,1,NA,14.09,"MORTGAGE"
0,NA,10250,26.11,"MORTGAGE"
0,1,12698,17.01,"RENT"
NA,0,41589,NA,"MORTGAGE"
2,0,NA,NA,"MORTGAGE"
0,NA,11412,7.96,"n/a"
1,0,30048,NA,"MORTGAGE"
0,0,8954,15.46,"RENT"
0,0,13076,9.21,"OWN"
1,0,17126,27.32,"n/a"
3,0,190090,39.98,"MORTGAGE"
1,0,NA,NA,"MORTGAGE"
NA,9,8295,NA,""
NA,0,32933,27.42," "
2,0,32830,14.2,"MORTGAGE"
1,0,19833,NA,"MORTGAGE"
1,1,3352,30.51,""
0,1,9775,7.04,"RENT"
0,0,11907,NA,"OWN"
0,0,NA,16,""
0,0,27583,27.41,"MORTGAGE"
1,0,NA,24.08,"MORTGAGE"
1,1,17812,31.92,"RENT"
1,1,10027,39.69,"n/a"
0,0,NA,NA," "
NA,1,7593,17.75,"n/a"
NA,0,14220,21.86,"RENT"
NA,0,24355,11.3,"MORTGAGE"
1,0,1200,9.55,"RENT"
0,0,NA,18.57,"RENT"
0,0,62565,23.52,"MORTGAGE"
1,NA,5214,27.37,""
0,0,17756,31.54,"RENT"
0,0,17520,11.82,"MORTGAGE"
0,0,8901,26.92,"MORTGAGE"
3,0,11624,13.44,"n/a"
1,0,34514,15.21," "
1,0,NA,28.32,"RENT"
1,0,8265,10.63,"RENT"
0,0,NA,12.13,"RENT"
NA,0,10834,34.91," "
0,0,NA,20.33,"RENT"
1,0,902,0.62,"MORTGAGE"
3,0,108,0.27," "
0,0,NA,18.73,"MORTGAGE"
1,1,2820,7.06," "
2,0,NA,NA,"RENT"
1,0,6840,NA," "
NA,0,NA,12.64,"MORTGAGE"
1,0,NA,30.45,""
0,0,NA,NA,"RENT"
NA,1,1964,23.87," "
NA,1,18846,23.18,"RENT"
1,0,10356,15.02," "
1,0,NA,14.12,NA
1,0,NA,25.49,"OWN"
0,0,16179,NA," "
0,0,22038,20.93,"MORTGAGE"
0,0,NA,NA,"MORTGAGE"
2,NA,8997,5.52,""
1,0,5592,35.76,"RENT"
NA,1,11540,NA,"MORTGAGE"
2,1,10016,NA,"RENT"
0,0,7417,NA,"n/a"
NA,0,NA,21.67,"OWN"
0,1,5524,13.89,"RENT"
0,0,307,NA,"MORTGAGE"
0,0,26741,8.6," "
NA,3,4144,13.21,"OWN"
0,NA,6686,NA,"RENT"
2,0,NA,10.89,NA
0,0,5229,NA,"n/a"
0,2,NA,5.05," "
0,0,24148,12.19,NA
NA,NA,3857,11.67,"OWN"
0,0,7519,15.68,"n/a"
3,0,2821,26.97,NA
0,0,7249,NA,NA
2,0,NA,33.32,"n/a"
1,0,3253,NA,"n/a"
1,0,14535,13.65,"MORTGAGE"
NA,0,21756,NA," "
2,1,3376,NA," "
0,0,29795,20.68,"MORTGAGE"
0,0,NA,18.67,"n/a"
0,1,6576,21.62,"n/a"
0,0,NA,15.58,"n/a"
1,1,9069,18.75,"n/a"
0,0,16888,NA,NA
NA,0,23357,21.45,"MORTGAGE"
2,1,12889,18.54,"MORTGAGE"
1,0,NA,13.98,"MORTGAGE"
NA,NA,15320,NA,"MORTGAGE"
5,NA,61832,20.56,"MORTGAGE"
2,0,27589,16.8," "
0,0,36406,16.77,"RENT"
0,NA,14863,NA,"RENT"
NA,0,28130,8.97,"n/a"
0,1,5132,2.36,"RENT"
NA,0,3286,21.01," "
3,4,6926,NA,"RENT"
0,0,35007,20.11,"RENT"
2,0,NA,24.13,"MORTGAGE"
0,1,2666,3.04,""
0,NA,NA,17.64,"MORTGAGE"
1,0,12674,NA,"n/a"
NA,0,11384,NA,"OWN"
3,0,NA,20.22,"MORTGAGE"
3,0,54428,NA,"MORTGAGE"
1,0,NA,14.06,"MORTGAGE"
NA,0,28289,NA,"RENT"
0,0,NA,30.84,"n/a"
1,0,7413,23.3,"MORTGAGE"
0,0,13294,25.47," "
2,1,6697,NA,"n/a"
3,NA,2827,NA,""
NA,0,9705,34.48,"RENT"
NA,0,10987,9.52,NA
2,0,45873,NA,"MORTGAGE"
0,0,NA,NA,"MORTGAGE"
0,NA,21795,5.26,"MORTGAGE"
0,0,NA,NA,"RENT"
1,0,16039,NA,"MORTGAGE"
0,NA,NA,16.67,"MORTGAGE"
0,2,NA,28.04,"RENT"
NA,0,24128,NA,"MORTGAGE"
1,0,33428,24.88,"OWN"
NA,0,5408,NA,"RENT"
NA,0,42043,21.77," "
NA,1,2257,19.92,"MORTGAGE"
0,0,NA,NA," "
0,0,27009,28.36,"n/a"
0,0,8261,18.53," "
0,0,7140,7.71,"OWN"
NA,0,33389,NA,"MORTGAGE"
NA,NA,NA,28.77,"RENT"
1,1,2327,12.56,"RENT"
0,0,7818,17.85,"n/a"
0,2,NA,15.5,"MORTGAGE"
0,0,34835,24.23,"n/a"
3,0,15219,NA,"n/a"
1,1,5778,NA,"RENT"
NA,0,30261,15.35,"RENT"
0,0,14874,18.26,"MORTGAGE"
2,0,26278,NA,"RENT"
0,0,11037,NA,""
1,0,4699,38.02,"RENT"
0,0,5959,3.36,"RENT"
0,0,7838,27.07," "
1,0,NA,NA,NA
1,0,710,8.79,"MORTGAGE"
0,1,7165,17.35,NA
1,0,26611,NA,"MORTGAGE"
0,0,NA,NA,"n/a"
0,0,8228,NA,"RENT"
1,NA,NA,19.4,"MORTGAGE"
1,1,3098,NA,"MORTGAGE"
NA,0,46828,23.54," "
0,0,NA,10.6,"MORTGAGE"
0,0,13185,22.82,"MORTGAGE"
NA,0,23297,21.84,"OWN"
NA,0,10582,24.36,"MORTGAGE"
1,0,25824,NA,"MORTGAGE"
2,0,11563,32.53,"OWN"
0,1,12096,8.34,"OWN"
0,2,NA,10.05," "
NA,0,7651,13.34,"MORTGAGE"
1,1,6035,21.32,"RENT"
0,0,NA,23.6," "
0,0,NA,11.09,"MORTGAGE"
0,0,NA,9.79,"MORTGAGE"
NA,0,11048,15.62," "
0,0,6179,NA,"RENT"
NA,0,6895,10.63,"RENT"
1,1,NA,15.76,"MORTGAGE"
1,0,1787,NA,"MORTGAGE"
NA,0,9404,21.87,"MORTGAGE"
0,0,17804,NA,NA
0,0,10466,NA,"MORTGAGE"
0,NA,NA,NA,"RENT"
0,1,41268,27.57," "
0,0,20237,28.7,"MORTGAGE"
0,0,NA,8.26," "
NA,0,5836,20.1,"MORTGAGE"
0,1,NA,13.57,"MORTGAGE"
NA,0,4595,12.23,"RENT"
1,0,NA,17.62,"RENT"
5,1,2472,29.41,"RENT"
5,0,NA,25.26,""
NA,1,16057,19.62,"RENT"
1,0,3584,18.27,""
1,0,19787,31.22,"RENT"
1,0,NA,11.22," "
NA,0,15431,20.15," "
1,0,978,25.18," "
0,0,7026,18.05,"OWN"
0,0,12722,NA,"RENT"
0,0,3915,18.04,"n/a"
1,0,15980,12.01,"n/a"
2,3,NA,17.98," "
NA,0,5923,7.56," "
0,0,7246,21.04,"RENT"
1,0,NA,NA,""
NA,0,8146,12.75,"MORTGAGE"
0,0,NA,16.1,""
NA,0,6227,11.62,"MORTGAGE"
2,1,895,22.27,NA
0,0,38442,21.34,""
0,0,NA,NA,"RENT"
0,0,10637,NA,"MORTGAGE"
0,NA,NA,22.87,"RENT"
NA,1,5960,NA,"RENT"
0,1,4516,18.49,"n/a"
0,0,29808,22.75," "
0,0,NA,9.66,"MORTGAGE"
2,NA,NA,9.65,"MORTGAGE"
0,0,18692,27.89,"MORTGAGE"
1,0,12731,NA,"MORTGAGE"
NA,0,12351,15.29,"OWN"
2,0,11075,9.05,""
NA,0,NA,14.71,"n/a"
NA,0,NA,NA,"MORTGAGE"
0,0,20204,NA,"MORTGAGE"
1,0,11106,7.08,"RENT"
0,0,NA,NA,"MORTGAGE"
NA,1,3843,12.44,""
2,0,11432,20.34,"RENT"
2,3,15494,21.14,"MORTGAGE"
0,0,NA,10.59,"MORTGAGE"
1,0,5527,11.03,"RENT"
0,1,NA,0," "
0,0,6178,24.52,"MORTGAGE"
4,0,48371,39.59,"OWN"
1,0,5714,12.92,"RENT"
0,NA,7302,23.75," "
NA,NA,4688,5.14,"RENT"
NA,0,4153,11.18,"MORTGAGE"
1,0,NA,18.39,"n/a"
0,0,9213,NA,"OWN"
NA,1,6559,14.49,"MORTGAGE"
1,0,13617,21.9,NA
3,0,NA,20.18," "
0,0,38144,NA,"MORTGAGE"
0,0,20365,33.92,"RENT"
0,0,17248,11.51,""
1,NA,NA,22.94,"MORTGAGE"
4,0,18466,NA,"MORTGAGE"
0,0,15064,16.52," "
0,NA,28907,34.9,"n/a"
NA,0,9286,33.71,"MORTGAGE"
1,0,10924,NA,"OWN"
0,0,54569,22.2,"MORTGAGE"
NA,1,5212,4.46,"RENT"
1,NA,2922,3.33," "
NA,0,NA,12.98," "
2,0,NA,12.03,"RENT"
0,NA,33137,27.66," "
0,1,NA,28.5," "
1,0,24048,23.4,"RENT"
1,NA,36298,28.22,"RENT"
1,0,11275,NA,"RENT"
0,0,NA,29.96,""
NA,0,25054,NA,"MORTGAGE"
0,0,NA,33.37,"RENT"
2,0,1632,12.69,"RENT"
1,NA,9271,13.83,"MORTGAGE"
NA,0,NA,15.91,"MORTGAGE"
NA,NA,16089,13.84,"OWN"
0,1,13583,31.83,"OWN"
2,0,17047,17.18,"MORTGAGE"
NA,0,14989,27.25," "
NA,0,12151,NA,"RENT"
0,0,3472,12.38,"RENT"
2,0,NA,20.56,"MORTGAGE"
1,0,8998,30.62,"RENT"
2,0,21451,18.17,NA
0,2,11547,10.35," "
0,0,33717,16.51,"RENT"
0,1,NA,23.43,"n/a"
3,0,39947,NA,NA
0,1,3193,4.54,NA
1,0,6839,28.42,"MORTGAGE"
NA,0,NA,25.92,"MORTGAGE"
1,0,961,5.18,"MORTGAGE"
0,1,13062,22.79,"n/a"
1,NA,2458,NA," "
NA,0,16345,9.18,"n/a"
0,2,NA,1.22,"RENT"
2,0,10901,NA," "
1,1,NA,21.52,"n/a"
0,0,7128,NA,"MORTGAGE"
0,0,54833,39,"OWN"
0,1,12360,10.69,"RENT"
1,0,18151,12.11,"RENT"
2,0,NA,23.3,"MORTGAGE"
0,0,12603,33.92," "
2,0,NA,17.57,"n/a"
1,NA,21317,NA,NA
0,0,3881,NA,"OWN"
1,2,6849,5.49,"MORTGAGE"
1,0,9445,3.6,"OWN"
0,NA,86599,23.01,NA
0,1,4586,23.18," "
0,0,6591,18.94,"MORTGAGE"
1,0,42676,19.54,"MORTGAGE"
NA,0,22806,37.54,"OWN"
0,0,7063,12.5,NA
0,1,NA,NA,"n/a"
2,0,5234,NA,"MORTGAGE"
0,1,NA,5.78," "
0,0,20110,NA,"RENT"
0,0,NA,26.63,"RENT"
0,0,10903,23.12,"OWN"
NA,1,6997,17.36,"MORTGAGE"
1,0,NA,16.72," "
0,0,30256,20.12," "
0,0,3532,17.28,""
2,0,NA,13.75," "
1,0,35130,36.11," "
2,0,9441,12.46," "
0,0,48551,30.43,"MORTGAGE"
0,1,NA,22.81,"RENT"
1,NA,4849,NA,"MORTGAGE"
0,0,NA,NA,"MORTGAGE"
0,0,5240,29.95,"RENT"
2,2,14862,15.45,"MORTGAGE"
1,0,8409,17.43," "
0,2,NA,NA,NA
0,0,24231,29.84,"OWN"
NA,NA,23302,NA,"n/a"
0,0,18297,NA," "
NA,0,43887,NA," "
0,0,29266,7.3,"n/a"
1,NA,4267,6.29," "
0,0,NA,NA," "
1,0,20442,NA,"MORTGAGE"
2,0,17193,27.36," "
0,0,1182,16," "
0,0,31539,13.41,"MORTGAGE"
1,0,11099,31.78,"RENT"
0,0,17551,NA,NA
0,1,8168,NA,"MORTGAGE"
0,0,NA,23.83,NA
1,0,5822,1.54,"RENT"
0,0,24614,28.69,"n/a"
0,0,25398,39.58,"RENT"
3,0,NA,NA,"MORTGAGE"
NA,1,4002,10.49,"n/a"
2,0,13685,18.68,"OWN"
0,0,23756,22.29," "
0,0,19049,16.99,"MORTGAGE"
1,0,13595,10.27," "
NA,0,32271,13.12,"n/a"
0,0,NA,31.13,"RENT"
2,0,22937,32.93,"RENT"
0,0,NA,21.51,"MORTGAGE"
0,0,16639,9.25,"RENT"
0,0,18941,9.18,"n/a"
0,0,51939,17.24,"RENT"
1,1,3934,6.81,"MORTGAGE"
0,0,3220,21.84," "
NA,0,6256,8.25,"MORTGAGE"
0,0,40466,33.82,NA
0,NA,4633,4.92," "
1,0,NA,25,"RENT"
0,0,38555,32.2," "
0,0,77213,28.4," "
0,0,NA,18.23,"MORTGAGE"
NA,0,NA,20.54,""
0,0,NA,NA,"RENT"
0,0,NA,14.4,"RENT"
0,0,11672,18.35,"RENT"
NA,0,5473,11.68," "
NA,0,32990,35.73,"MORTGAGE"
NA,0,22821,26.6," "
1,0,15259,17.35,NA
3,0,34498,NA,"MORTGAGE"
4,1,4082,12.86,"n/a"
NA,0,12784,29.06," "
0,1,879,11.05,NA
0,0,7199,22.15,"RENT"
2,0,493,2.47,"RENT"
0,2,5739,32.5,"RENT"
2,1,14850,10.85,"MORTGAGE"
0,0,6818,NA,NA
0,0,13071,24.79,"RENT"
2,0,NA,NA,"MORTGAGE"
1,1,4466,NA,"MORTGAGE"
3,0,NA,11.47,"RENT"
0,0,26551,35.88,NA
1,0,8944,NA,"RENT"
0,0,NA,13.96," "
1,1,3909,10.82,"n/a"
0,0,11570,18.26,"RENT"
1,0,NA,NA,"MORTGAGE"
1,0,9545,10.8,"RENT"
0,NA,NA,13.82,"MORTGAGE"
1,0,18362,14.49,"n/a"
0,0,11839,10.44,"MORTGAGE"
0,1,7309,17.31," "
4,0,12768,6.29," "
0,0,19103,14,"RENT"
0,0,14599,25.83,"OWN"
0,0,18040,NA,""
NA,0,NA,15.45,NA
0,0,36458,12.57,"RENT"
0,0,NA,NA,"n/a"
1,0,4114,17.5,"OWN"
1,0,10583,18.21,"RENT"
0,0,23132,10.15,"RENT"
0,NA,7950,NA," "
0,0,6508,NA,"RENT"
NA,0,5177,35.58,""
0,1,12626,14.45,"n/a"
1,0,NA,15.87,"MORTGAGE"
0,0,NA,12.75,""
0,0,19541,13.15,"MORTGAGE"
2,0,33987,16.84,"RENT"
NA,3,5618,13.77,"MORTGAGE"
2,0,NA,3.12,"n/a"
2,0,17478,33.3,"MORTGAGE"
NA,0,NA,18.49,"MORTGAGE"
NA,0,16273,NA," "
1,0,NA,14.54,"MORTGAGE"
1,3,12515,NA,"n/a"
0,0,NA,10.13,"RENT"
0,0,26825,21.26,"MORTGAGE"
0,2,5372,NA,"n/a"
1,0,12601,NA,"OWN"
NA,0,27429,23.98,""
1,0,1950,12.28," "
0,0,13031,16.26,"n/a"
2,0,292,18.99,"RENT"
0,0,NA,NA,"n/a"
0,0,NA,NA,"OWN"
0,0,21338,10.13,"MORTGAGE"
NA,0,19979,NA," "
0,0,3453,27.93,"MORTGAGE"
0,1,51855,NA,"MORTGAGE"
NA,NA,NA,29.6,"RENT"
NA,0,NA,NA,""
2,0,25567,24.87,""
NA,NA,NA,25.27,""
NA,0,35128,22.41,"MORTGAGE"
NA,0,NA,13.56,"RENT"
1,0,8389,18.24,"n/a"
0,0,39007,16.79,"RENT"
0,0,19859,25.71,NA
0,0,11399,19.14,""
0,0,6393,38.4,"RENT"
0,1,6382,10.22,""
3,1,428,26.2," "
NA,0,NA,25.98,"RENT"
0,0,74338,32.82,"n/a"
2,0,14252,19.27,"MORTGAGE"
0,0,16964,23.84,NA
0,0,3534,18.23,""
0,1,14080,17.87,""
NA,0,7706,24.32,"MORTGAGE"
1,NA,NA,39.18,"n/a"
NA,0,NA,12.1," "
NA,0,31328,19.33,"n/a"
0,0,NA,NA,"n/a"
NA,0,8606,NA,"MORTGAGE"
0,1,NA,19.64,"MORTGAGE"
0,NA,7842,20.34,"RENT"
1,1,7234,38.82,"RENT"
3,NA,7979,13.87,"MORTGAGE"
1,NA,18596,26.58," "
1,1,7841,NA,""
0,1,3398,22.85,"OWN"
NA,0,34940,12.99," "
2,1,6646,17.64,""
NA,0,NA,NA,"MORTGAGE"
1,1,1554,NA,"RENT"
0,0,8132,14.22,"MORTGAGE"
0,5,14038,NA,"MORTGAGE"
0,0,8757,26.06,"MORTGAGE"
0,0,12731,21.78,""
0,0,NA,NA," "
1,0,6318,20.45,"RENT"
0,0,11304,38.23,"MORTGAGE"
1,0,NA,7.65," "
NA,0,NA,14.44,NA
2,0,17709,13.63,"RENT"
1,NA,10669,23.26,"RENT"
NA,0,20060,12.55,NA
0,1,1629,9.92,"RENT"
NA,0,33977,31.37,"OWN"
NA,0,5622,34.04,"MORTGAGE"
NA,0,23538,14.21,"OWN"
1,0,NA,30.88,"RENT"
0,0,NA,18.03,"RENT"
0,0,40173,10.83,"MORTGAGE"
NA,NA,NA,5.75,"RENT"
0,0,NA,27.19,"OWN"
0,0,53708,17.09,"n/a"
NA,0,20597,NA,NA
0,0,2658,25.32," "
NA,0,NA,NA,"MORTGAGE"
NA,0,41131,12," "
0,0,17958,13.65,"RENT"
2,0,91912,33.58,"MORTGAGE"
1,0,11347,9.67,NA
1,0,13752,NA," "
0,0,11474,25.74,"n/a"
1,0,NA,11.04,"MORTGAGE"
0,1,11223,14.6,"RENT"
NA,0,NA,NA,"MORTGAGE"
2,0,10659,NA," "
NA,0,24612,NA," "
0,0,3023,12.14,"RENT"
0,1,3361,16.83,"n/a"
0,0,20383,26.05,NA
2,0,3823,18.45,"n/a"
NA,0,3524,13.12,"MORTGAGE"
1,0,17297,NA,"MORTGAGE"
0,1,5280,4.8,"RENT"
1,0,6989,9.54,"RENT"
0,0,19148,32.66,"RENT"
0,0,44244,23.85,"MORTGAGE"
1,0,NA,7.16,"RENT"
0,0,4402,24.61,NA
0,0,22735,17.24,""
0,0,23238,19.06,"MORTGAGE"
NA,0,38714,17.71,"MORTGAGE"
0,0,5044,14.65,"RENT"
NA,NA,20158,NA,"MORTGAGE"
2,0,16949,NA,"MORTGAGE"
1,0,14593,20.6,"MORTGAGE"
0,0,31038,20.55,"MORTGAGE"
1,0,NA,10.14,"MORTGAGE"
NA,0,6568,22.56,"RENT"
0,0,9579,9.22,NA
NA,0,37072,NA,"MORTGAGE"
2,NA,21810,14.76,"RENT"
0,0,NA,NA," "
2,NA,6603,22.83,"RENT"
0,0,8691,17.47,""
1,0,NA,2.2,""
0,NA,10147,19.22,"n/a"
2,0,24200,11.63,"MORTGAGE"
0,0,20043,NA,"MORTGAGE"
0,NA,NA,25.71,"RENT"
NA,0,5987,13.11," "
NA,0,3861,NA,"MORTGAGE"
0,0,NA,12.54,"RENT"
1,0,24409,32.24,"MORTGAGE"
NA,0,14582,8.37,"n/a"
0,0,NA,6.73," "
0,1,2750,6.38,"MORTGAGE"
0,0,NA,0.75,"n/a"
1,1,NA,NA," "
0,1,4945,10.02," "
0,0,NA,12.07,"n/a"
0,0,47313,13.84,""
0,0,9038,NA,"MORTGAGE"
0,0,2567,32.77," "
1,0,40383,9.91," "
1,0,24424,11.05,"RENT"
0,0,17927,18.01,"RENT"
0,1,18921,17.39,"RENT"
1,1,11587,12.39,"MORTGAGE"
2,0,NA,17.08,"RENT"
0,2,6736,6.28,""
0,NA,NA,NA,"n/a"
NA,0,10355,34.27,"MORTGAGE"
0,NA,81017,24.98," "
0,0,NA,11.28,"RENT"
0,0,5001,15.82,"RENT"
1,0,2,27.29,"MORTGAGE"
